"Dist Code","Year","State Code","State Name","Dist Name","RICE PRODUCTION (1000 tons)","KHARIF SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM PRODUCTION (1000 tons)","SORGHUM PRODUCTION (1000 tons)","PEARL MILLET PRODUCTION (1000 tons)","MAIZE PRODUCTION (1000 tons)","CHICKPEA PRODUCTION (1000 tons)","PIGEONPEA PRODUCTION (1000 tons)","SOYABEAN PRODUCTION (1000 tons)","COTTON PRODUCTION (1000 tons)"
"1","2009","14","Chhattisgarh","Durg","622.05","0.07","0.0","0.22","0.0","3.4","130.06","5.88","64.92","0.0"
"1","2010","14","Chhattisgarh","Durg","1319.18","0.32","0.0","0.32","2.41","4.63","174.84","5.24","105.41","0.0"
"1","2011","14","Chhattisgarh","Durg","1416.48","0.2","0.0","0.2","0.0","4.67","197.94","5.46","69.83","0.02"
"1","2012","14","Chhattisgarh","Durg","1534.22","0.49","0.0","0.49","0.0","4.8","235.92","6.1","101.62","0.02"
"1","2013","14","Chhattisgarh","Durg","1296.24","0.0","0.0","0.17","0.07","6.34","173.91","5.68","92.65","0.01"
"1","2014","14","Chhattisgarh","Durg","1444.24","0.0","0.0","0.18","0.04","5.84","241.58","9.18","39.93","0.02"
"1","2015","14","Chhattisgarh","Durg","880.6","0.0","0.0","0.19","0.0","14.47","166.24","11.01","49.1","0.01"
"1","2016","14","Chhattisgarh","Durg","1791.66","0.0","0.0","0.13","0.0","16.12","264.01","14.82","60.69","0.02"
"1","2017","14","Chhattisgarh","Durg","983.21","0.0","0.0","0.14","0.0","18.09","259.45","10.69","25.02","0.13"
"2","2009","14","Chhattisgarh","Bastar","682.46","0.0","0.0","2.42","0.0","61.36","1.63","1.31","0.03","0.0"
"2","2010","14","Chhattisgarh","Bastar","1184.98","4.4","0.0","4.4","0.0","72.3","1.7","0.93","0.0","0.0"
"2","2011","14","Chhattisgarh","Bastar","772.88","1.97","0.0","1.97","0.0","82.85","1.47","0.93","0.03","0.0"
"2","2012","14","Chhattisgarh","Bastar","1341.33","1.92","0.0","1.92","0.0","84.27","2.05","1.4","0.04","0.0"
"2","2013","14","Chhattisgarh","Bastar","1265.91","0.0","0.0","1.59","0.0","99.48","1.39","1.37","0.01","0.0"
"2","2014","14","Chhattisgarh","Bastar","1377.04","0.0","0.0","2.09","0.0","86.93","2.11","1.38","0.03","0.0"
"2","2015","14","Chhattisgarh","Bastar","664.46","0.0","0.0","1.52","0.0","88.98","1.33","1.21","0.0","0.0"
"2","2016","14","Chhattisgarh","Bastar","1294.97","0.0","0.0","2.34","0.0","123.66","0.91","1.22","0.01","0.0"
"2","2017","14","Chhattisgarh","Bastar","801.82","0.0","0.0","1.79","0.0","120.22","1.29","0.66","0.01","0.0"
"3","2009","14","Chhattisgarh","Raipur","1307.24","0.34","0.0","0.38","0.0","2.13","46.26","1.48","0.53","0.0"
"3","2010","14","Chhattisgarh","Raipur","1521.13","0.23","0.0","0.23","0.0","1.8","15.1","1.12","0.8","0.0"
"3","2011","14","Chhattisgarh","Raipur","1421.37","0.1","0.0","0.1","0.01","3.6","20.32","1.23","0.44","0.0"
"3","2012","14","Chhattisgarh","Raipur","1974.69","0.15","0.0","0.15","0.01","17.05","18.46","1.51","0.94","0.0"
"3","2013","14","Chhattisgarh","Raipur","1749.21","0.0","0.0","0.05","0.0","22.77","13.04","1.28","0.57","0.0"
"3","2014","14","Chhattisgarh","Raipur","2127.73","0.0","0.0","0.08","0.01","29.67","19.99","1.3","0.47","0.0"
"3","2015","14","Chhattisgarh","Raipur","1412.83","0.0","0.0","0.02","0.0","20.1","12.88","0.93","0.35","0.0"
"3","2016","14","Chhattisgarh","Raipur","2432.48","0.0","0.0","0.02","0.02","18.15","22.35","1.26","0.43","0.01"
"3","2017","14","Chhattisgarh","Raipur","1520.95","0.0","0.0","0.02","0.0","13.67","34.48","0.58","0.09","0.01"
"4","2009","14","Chhattisgarh","Bilaspur","994.29","0.0","0.0","1.05","0.0","17.12","40.19","5.89","12.3","0.0"
"4","2010","14","Chhattisgarh","Bilaspur","1333.61","1.06","0.2","1.06","0.0","18.67","17.32","4.76","18.19","0.0"
"4","2011","14","Chhattisgarh","Bilaspur","1557.35","0.49","0.0","0.49","0.01","12.72","36.18","3.92","14.29","0.0"
"4","2012","14","Chhattisgarh","Bilaspur","1746.82","0.7","0.0","0.7","0.01","15.8","42.67","4.82","23.47","0.0"
"4","2013","14","Chhattisgarh","Bilaspur","1577.16","0.0","0.0","0.51","0.04","15.51","28.77","4.66","18.59","0.0"
"4","2014","14","Chhattisgarh","Bilaspur","1683.92","0.0","0.0","0.59","0.03","15.57","41.18","5.0","9.6","0.0"
"4","2015","14","Chhattisgarh","Bilaspur","1340.65","0.0","0.0","0.7","0.01","12.22","34.83","3.68","9.07","0.0"
"4","2016","14","Chhattisgarh","Bilaspur","1858.19","0.0","0.0","0.98","0.01","17.11","45.33","4.87","14.19","0.0"
"4","2017","14","Chhattisgarh","Bilaspur","1295.71","0.0","0.0","0.9","0.01","15.83","32.29","2.84","5.17","0.0"
"5","2009","14","Chhattisgarh","Raigarh","470.53","0.0","0.0","0.65","0.02","11.23","9.76","3.42","0.02","0.0"
"5","2010","14","Chhattisgarh","Raigarh","598.26","0.3","0.0","0.22","0.0","11.9","1.72","3.07","0.0","0.0"
"5","2011","14","Chhattisgarh","Raigarh","602.66","0.09","0.0","0.09","0.02","10.67","1.66","3.39","0.0","0.0"
"5","2012","14","Chhattisgarh","Raigarh","641.28","0.08","0.0","0.08","0.14","11.84","2.03","4.0","0.0","0.0"
"5","2013","14","Chhattisgarh","Raigarh","580.76","0.0","0.0","0.09","0.02","14.33","1.4","5.09","0.0","0.0"
